,host_name,neighbourhood_group,room_type,price,availability_365,reviews_per_month,Hotel_value
0,John,2,Private room,149,365,0.21,514
1,Jennifer,1,Entire home/apt,225,355,0.38,580
3,LisaRoxanne,2,Entire home/apt,89,194,4.64,283
4,Laura,1,Entire home/apt,80,0,0.1,80
5,Chris,1,Entire home/apt,200,129,0.59,329
6,Garon,2,Private room,60,0,0.4,60
7,Shunichi,1,Private room,79,220,3.47,299
8,MaryEllen,1,Private room,79,0,0.99,79
9,Ben,1,Entire home/apt,150,188,1.33,338
10,Lena,1,Entire home/apt,135,6,0.43,141
11,Kate,1,Private room,85,39,1.5,124
12,Laurie,2,Private room,89,314,1.34,403
13,Claudio,1,Private room,85,333,0.91,418
14,Alina,1,Entire home/apt,120,0,0.22,120
15,Allen & Irina,2,Entire home/apt,140,46,1.2,186
16,Jane,2,Entire home/apt,215,321,1.72,536
17,Doti,1,Private room,140,12,2.12,152
18,Adam And Charity,2,Entire home/apt,99,21,4.44,120
20,Chaya,2,Entire home/apt,299,0,0.07,299
21,Lisel,2,Private room,130,347,1.09,477
22,Lisel,2,Private room,80,364,0.37,444
23,Lisel,2,Private room,110,304,0.61,414
24,Nathalie,2,Entire home/apt,120,233,0.73,353
25,Gregory,2,Private room,60,85,1.37,145
27,Tommi,1,Entire home/apt,150,75,0.49,225
28,Shon,1,Private room,44,311,1.11,355
29,Dana,1,Entire home/apt,180,67,0.24,247
30,Ssameer Or Trip,1,Private room,50,355,2.04,405
31,Teri,1,Private room,52,255,1.42,307
32,Andrea,2,Private room,55,284,1.65,339
33,Ssameer Or Trip,1,Private room,50,359,2.37,409
34,Angela,2,Private room,70,269,0.66,339
35,Laurie,2,Private room,89,340,1.41,429
37,Tyrome,2,Entire home/apt,85,22,1.96,107
39,Ben,1,Shared room,40,188,1.81,228
40,Edward,1,Private room,68,96,2.08,164
41,Abdul,2,Entire home/apt,120,345,0.39,465
42,Yolande,2,Private room,120,311,0.23,431
43,Cyn,1,Private room,135,273,0.69,408
44,Earl,1,Entire home/apt,150,309,0.84,459
45,Rana,2,Entire home/apt,150,95,0.49,245
46,Orestes,3,Private room,130,215,2.25,345
47,Adreinne,2,Entire home/apt,110,265,0.52,375
48,Jennifer,2,Entire home/apt,115,0,0.1,115
49,Alexander,2,Private room,80,192,1.16,272
50,JT And Tiziana,2,Private room,80,251,1.01,331
51,Joya,1,Entire home/apt,151,302,0.63,453
52,James,2,Entire home/apt,228,140,0.7,368
53,Jeanne,2,Entire home/apt,144,234,2.82,378
54,Francesca,1,Entire home/apt,200,257,0.22,457
55,Joanna,2,Entire home/apt,150,30,0.9,180
56,Bianca,1,Private room,110,301,0.17,411
57,Luiz,1,Private room,69,294,2.49,363
58,Andrea,2,Private room,49,320,1.19,369
59,Ted,1,Entire home/apt,180,154,0.3,334
60,Cristina,2,Private room,80,263,0.38,343
61,Petra,1,Entire home/apt,375,180,0.12,555
62,D,1,Entire home/apt,250,231,0.57,481
63,Dimitri,2,Entire home/apt,200,297,1.33,497
64,Patricia,2,Private room,55,292,0.23,347
65,Mark,1,Private room,52,191,1.65,243
66,Sara,2,Entire home/apt,225,0,0.16,225
67,Reka,1,Private room,80,72,4.72,152
68,Daniel,2,Entire home/apt,275,362,1.4,637
69,Casey,1,Private room,99,336,1.26,435
70,Robin,1,Entire home/apt,225,215,1.64,440
71,Anna,1,Entire home/apt,230,116,0.43,346
72,Enzo,1,Private room,51,88,0.43,139
73,Tye And Etienne,1,Private room,65,336,1.6,401
74,George,2,Private room,105,304,0.92,409
75,Josh,1,Entire home/apt,190,224,0.2,414
76,Victoria,1,Private room,200,322,1.5,522
77,Justin,3,Private room,70,324,0.22,394
78,Blaise,2,Private room,95,132,1.28,227
79,DAVID And RICK,1,Private room,150,295,1.65,445
